appid	name	detailed_description
1458560	i'm on observation duty 3	a thrilling psychological horror game. your job is to look for anomalies in a haunted house. if you see anyhting suspicious (furniture moving, extra objects, intruders), take a photo and send a report. includes both vr- (windows only) and non-vr (windows, mac, linux)-versions. say goodbye to surveillance cameras! the third entry in the cult-classic i'm on observation duty -series puts you right inside the haunted house! can you survive the entire night?
303880	triblaster	pew pew pew retro style! shoot enemies, survive, gain lives and achieve the highest scores possible all in an old school vector style game. start! control the triblaster in an unknown dimension and bring down your foes the goal is to survive and achieve high scores. level complete! retro-games were never easy, and this ain't changing. go go go! there are 100 levels waiting for you! achievement unlocked! completing levels isn't enough when you're a hardcore player, and what you need is more challenge, right? some of the achievements are hard to find. game over! the good old 'game over' screen, can't live without it. features: - beam weapon based on how many resources you gather - jump back in space to avoid ennemies - 100 levels
235320	original war	an american geological expedition, under a un mandate, assesses the natural resources in a distant part of siberia, deep in the trackless steppes of eastern russia. but instead of oil, they discover a deposit of a hitherto unknown mineral. american scientists working for department of defense find out that this mineral is in fact identical to the substance used to power an extraterrestrial artifact in their possession. this object is called the eon (extraterrestrial object nexus). it was found in 1919 by colonel emerson near the site of the tunguska explosion. emerson was the commander of a us military unit in charge of transporting us war supplies from the city of vladivostok to the eastern front during world war i. dod experiments have shown that items placed in the capsule are transported hundreds of thousands of years back in time. the american scientists were not able to understand its construction, nor could they manage to synthesize its fuel. eventually, the machine - classified top secret - was stored, pending further advances in human science.
1202580	beyond eden: dear edward	raise a naive young aristocrat after racking up a huge amount of gambling debt, edward seeks means to repay it while struggling to discover true love and what he wants to do with his life. but he has only one year to accomplish all this. how he spends that precious time depends on you, the player. decide what edward learns, who he spends time with, and thereby the course of his life. description spin-off from beyond eden , the victorian boys’ love adventure game. boy’s love life &amp; dating sim set in 1890s london. venture its streets and salons as detective, psychic, or gambler! features same-sex romance between men centering on heart-throbbing one-sided love. two romance options (an experienced and sophisticated businessman, or a warm and affectionate ex-dormmate), each with completely independent storylines. love triangle storyline and ending also available. different stats and choices lead to multiple endings. shape edward’s future including his job, lover, and even the fate of his family. multiple playthroughs encouraged, bonus points and achievement awards available. the 'cupid system' lets you play cupid to bring alex and the romantic options from beyond eden together. watch six what-if epilogues following the events of beyond eden. see how alex is getting along with the characters of the previous game. (oscar, joshua, jeremy, laurence, morris, theodore) gameplay length: 4~7 hours on first playthrough. (10~20 hours upon clearing all major events via multiple playthroughs.) enjoy sweet, sweet romance edward can pursue romantic relationships with two characters. alex wake the protagonist of 'beyond eden', alex is a handsome businessman and popular socialite. edward was smitten by him at first sight, but they remain mere acquaintances. the animosity between the wakes and the edenics is just one obstacle that he must overcome to win alex’s heart. francis taylor francis taylor is a shy, gentle young man and edward’s boarding school roommate. unbeknownst to edward, francis had romantic feelings for him since they were boys. but to edward, francis was someone to avoid because he was involved in an incident that got edward expelled. a rather unlucky young man prone to get entangled in undesirable circumstances, edward can choose to continue ignoring francis or offer help.
1496210	centrifugal	welcome, travelers! our rocket is lost in nowhere of the universe. we need you to use your excellent flying skill to navigate it back! are your ready to accept this challenging mission? how to play 'centrifugal': 'centrifugal' is a hardcore but fun game. our rocket is mounted with a unique gravity engine. due to its special design, you are not able to rotate the rocket by itself. however, you can control the gravity that is affecting the rocket. we have to use the centripetal and centrifugal forces of the planets to make turns and navigate our rocket back! when holding down [space], the gravity engine is turned on. besides accelerating, the rocket also gets rid of gravity and fly in a straight line. look for a good opportunity and use this method to efficiently travel between planets. when releasing [space], the gravity engine is turned off. the rocket will be captured by the planets and fly in a curved orbit. use this method to rotate your rocket and adjust the trajectory! the only operating physics law in this universe is the gravity equation. which means, larger the planet, bigger the attraction force. closer the distance between the rocket and the planet, bigger the attraction force as well. what's inside 'centrifugal': we have to travel through different star systems to return home. make sure to use the physics wisely and avoid crashing... don't get hit by the meteors... and don't get sucked into the blackholes... in 'centrifugal', you can: travel through various constellations and stars! these are real constellations in our world: lyra, aquila, cygnus, big dipper (part of ursa major), and ursa minor. enjoy the feeling of manipulating gravity! achieve the highest score you can by rushing through the finish line! explore the infinite universe and see how far you can go! challenge yourself and break the record! customize the appearance of your rocket! unlock them with tokens you earned by achieving high score. play local multiplayer mode and have fun with your friend! two players will control one rocket at a time, and each of them will control a different thruster. the key here is to have excellent collaboration with your friend! last but not least, good luck &amp; fly safe!
1384770	scrutinized	you never know what true horrors might lurk behind that charming, suburban front door. you’re luna youngman, a criminal analyst for the district attorneys office, set on weeding out the villains in your sleepy town while using various applications on your home computer. in this survivor horror you’ll search through a database full of reports to determine what kind of person lurks behind each one. everything from cell phone images, decades-old police reports, recent purchases, text conversations, social media accounts, and search history is only a click away to help you assess these reports and either mark them as threats or not. you accomplish these tasks while using the simulated computer system in the game, the a.d.o.s system with tools dedicated to help you. one of these tools being the rootkit which is a virtual cell phone cracking tool. crack into the suspicious person by sliding around a slider to get the right code! easy to understand but challenging to accomplish. like most of the population, you work during the day, but at night, your time is your own. it’s not as simple as staying awake through the night to file each report properly. there are killers on the loose, and the work you do has repercussions. in addition to the reports you must submit each night, you’ll need to keep an eye on your surroundings. staying hyper-vigilant will get you far against these two malicious threats, eager to infiltrate your home. the last thing you want is to run the risk of getting caught off guard. you will accomplish this by walking around the immersive environment of luna's home and making sure that windows are closed and the lights are on. collect evidence, correctly file your reports, and survive this horror experience the next simulated 10 nights. if you can keep yourself from getting kidnapped, killed, or worse, you might finally be able to relax. you just need to not die before reaching those sandy beaches you’ve been dreaming about, confident in a job well done. not a fan of jump scares? this game does have jump scares, but it is one of the only few games that allow you to turn them off! so if you would like to still experience the interesting story and game play but have a faint of heart, you can simple turn off the jump scares right inside the options menu! looking for a more casual experience? not to worry! in scrutinized there is an easy mode for you to enjoy the mechanics of the game and read all the interesting reports inside the simulated computer system.
2593400	girl x island	overview: welcome to 'girl x island', an rpg visual novel game that immerses players in a captivating story of survival, adventure, and choice. developed by a solo developer team. this game takes you on a thrilling journey as you assume the role of peter, a young boy who finds himself stranded on a mysterious and uninhabited island after a fateful fall from a cruise ship. key features: 1. survival in a hostile paradise: step into peter's shoes and face the ultimate challenge of surviving on an isolated island in the middle of the sea. with nothing but your wits and determination, gather essential resources through mining, gathering, hunting, and crafting to ensure your survival. 2. interactive storytelling: every corner of the island holds secrets and characters waiting to be discovered. as you explore this enigmatic world, you'll encounter various characters, each with their own unique stories and backgrounds. it's up to you to decide whether to engage with them and embark on a shared journey, or forge your path alone. 3. stunning 3d graphics: immerse yourself in the breathtaking beauty of the island, brought to life with stunning 3d graphics. few animations artfully support key scenes, enhancing the visual experience and drawing you deeper into the story. gameplay: in 'girl x island, you'll find yourself in a world where survival is paramount. to thrive, you'll need to: collect resources: search for valuable materials by mining, gathering plants, and hunting wildlife. craft essential items: use the resources you gather to craft tools, weapons, and shelter, turning the harsh wilderness into a comfortable home. explore the unknown: venture into the uncharted territories of the island, discovering hidden secrets and meeting intriguing characters along the way. make choices that matter: every decision you make will impact the story's direction, affecting peter's fate and the relationships he forms.
1371720	card shark	'our adversaries tonight? an unscrupulous group of scoundrels and rogues, rumoured to possess an unlimited fund between them. if we stick to the strategies you’ve learnt, this will be a walkover.' - comte de saint-germain card shark is an adventure game full of cunning, intrigue, and delectable deceit. enter a world where you’ll need to play your opponents better than you play your cards. learn and master new tricks cheat your way to the top of 18th-century french society. master deceptions using card marking, false shuffles, deck switching, false deals, and more! use your ill-gotten gains to buy your way into the closed world of high-stakes tables. uncover a conspiracy ... as you climb from local card parlors to the king's table. a word of advice: don't get caught. your fellow gamblers do not take kindly to cheats… travel through 18th century france discover small towns, remote mansions, and luxurious lounges imagined by nerial team (reigns) game creator arnaud de bock (pikuniku). immerse yourself in the ornate visual artwork of nicolai troshinsky. have your every move accompanied by an original score from andrea boccadoro as interpreted by an orchestra.
2838360	since memories: off the starry sky	the celebrated memories off series returns. in a modern setting 10 years after the original series, comes a poignant tale of grief, friendship and mystery. follow the story of junya, lost in his own world but soft-hearted and ready to help those in need, his close friends try to keep him grounded following the tragic loss of his brother. as junya tries to move forward from his grief, focusing on his studies and his work, he loses himself deep in trying to help others. whether he's turning a japanese manor house into a café, or solving the mystery of his brother's death - junya's life is inexorably linked to the women around him. only by deepening his relationships with them can he solve their interwoven problems - and through that, find peace himself. as you rebuild the hojo manor, uncover the tangled past and the truth behind junya’s brother’s death and the mysterious girl who follows you. explore different character routes as you foster relationships both old and new, with the five heroines, chihaya, hinata, chunyu, yuriko and azusa. phenomenal artwork from u35, acclaimed character designer, bringing exquisite production values and unique character creations. scenario writing by tsukasa tsuchiya, hiro akizuki, rio izumi, decocool, moe gungu, and chiyo yakaku – whose credits include the likes of steins;gate 0, fate/zero and the atelier series. fully voiced in japanese, bringing the characters personalities and interactions to life, allowing you to immerse and experience their raw emotion and heartfelt reactions. notable for his work on steins;gate, chaos;head and the memories off series, takeshi abo has produced a moving soundtrack which transform this visual novel into a cinematic experience.
1754790	fate of the pharaoh	become the loyal pharaoh’s adviser and help him to restore peace and prosperity in the golden cities of egypt. construct houses re-establish production, collect taxes and gather materials, set up production and trade, and fight crocodiles and wicked cobras. restore egypt to its days of glory! help the people of ancient egypt to restore their kingdom in this exciting time management adventure game! explore the magnificent era of our history 44 exciting levels to master and hundreds of quests fight dangerous cobras, scorpions, crocodiles and more! earn achievements along the way meet friends from outer space 2 difficulty modes: relaxed and adventure step-by-step tutorials for beginners
