appid	name	detailed_description
1458560	I'm on Observation Duty 3	A thrilling psychological horror game. Your job is to look for anomalies in a haunted house. If you see anyhting suspicious (furniture moving, extra objects, intruders), take a photo and send a report. Includes both VR- (windows only) and non-VR (windows, mac, linux)-versions. Say goodbye to surveillance cameras! The third entry in the cult-classic I'm on Observation Duty -series puts you right inside the haunted house! Can you survive the entire night?
303880	Triblaster	Pew pew pew RETRO STYLE! Shoot enemies, survive, gain lives and achieve the highest scores possible all in an old school vector style game. START! Control the TriBlaster in an unknown dimension and bring down your foes The goal is to survive and achieve high scores. LEVEL COMPLETE! Retro-games were never easy, and this ain't changing. Go go go! There are 100 levels waiting for you! ACHIEVEMENT UNLOCKED! Completing levels isn't enough when you're a hardcore player, and what you need is more challenge, right? Some of the achievements are hard to find. GAME OVER! The good old 'Game Over' screen, can't live without it. Features: - Beam weapon based on how many resources you gather - Jump back in space to avoid ennemies - 100 levels
235320	Original War	An American geological expedition, under a UN mandate, assesses the natural resources in a distant part of Siberia, deep in the trackless steppes of Eastern Russia. But instead of oil, they discover a deposit of a hitherto unknown mineral. American scientists working for Department of Defense find out that this mineral is in fact identical to the substance used to power an extraterrestrial artifact in their possession. This object is called the EON (Extraterrestrial Object Nexus). It was found in 1919 by Colonel Emerson near the site of the Tunguska explosion. Emerson was the commander of a US military unit in charge of transporting US war supplies from the city of Vladivostok to the Eastern front during World War I. DoD Experiments have shown that items placed in the capsule are transported hundreds of thousands of years back in time. The American scientists were not able to understand its construction, nor could they manage to synthesize its fuel. Eventually, the machine - classified Top Secret - was stored, pending further advances in human science.
1202580	Beyond Eden: Dear Edward	Raise a naive young aristocrat After racking up a huge amount of gambling debt, Edward seeks means to repay it while struggling to discover true love and what he wants to do with his life. But he has only one year to accomplish all this. How he spends that precious time depends on you, the player. Decide what Edward learns, who he spends time with, and thereby the course of his life. Description Spin-off from Beyond Eden , the Victorian Boys’ Love adventure game. Boy’s Love Life &amp; Dating Sim set in 1890s London. Venture its streets and salons as detective, psychic, or gambler! Features same-sex romance between men centering on heart-throbbing one-sided love. Two romance options (an experienced and sophisticated businessman, or a warm and affectionate ex-dormmate), each with completely independent storylines. Love triangle storyline and ending also available. Different stats and choices lead to multiple endings. Shape Edward’s future including his job, lover, and even the fate of his family. Multiple playthroughs encouraged, bonus points and achievement awards available. The 'Cupid System' lets you play cupid to bring Alex and the romantic options from Beyond Eden together. Watch six what-if epilogues following the events of Beyond Eden. See how Alex is getting along with the characters of the previous game. (Oscar, Joshua, Jeremy, Laurence, Morris, Theodore) Gameplay length: 4~7 hours on first playthrough. (10~20 hours upon clearing all major events via multiple playthroughs.) Enjoy sweet, sweet romance Edward can pursue romantic relationships with two characters. Alex Wake The protagonist of 'Beyond Eden', Alex is a handsome businessman and popular socialite. Edward was smitten by him at first sight, but they remain mere acquaintances. The animosity between the Wakes and the Edenics is just one obstacle that he must overcome to win Alex’s heart. Francis Taylor Francis Taylor is a shy, gentle young man and Edward’s boarding school roommate. Unbeknownst to Edward, Francis had romantic feelings for him since they were boys. But to Edward, Francis was someone to avoid because he was involved in an incident that got Edward expelled. A rather unlucky young man prone to get entangled in undesirable circumstances, Edward can choose to continue ignoring Francis or offer help.
1496210	Centrifugal	Welcome, travelers! Our rocket is lost in nowhere of the universe. We need you to use your excellent flying skill to navigate it back! Are your ready to accept this challenging mission? How to play 'Centrifugal': 'Centrifugal' is a hardcore but fun game. Our rocket is mounted with a unique gravity engine. Due to its special design, you are not able to rotate the rocket by itself. However, you can control the gravity that is affecting the rocket. We have to use the centripetal and centrifugal forces of the planets to make turns and navigate our rocket back! When holding down [SPACE], the gravity engine is turned on. Besides accelerating, the rocket also gets rid of gravity and fly in a straight line. Look for a good opportunity and use this method to efficiently travel between planets. When releasing [SPACE], the gravity engine is turned off. The rocket will be captured by the planets and fly in a curved orbit. Use this method to rotate your rocket and adjust the trajectory! The only operating physics law in this universe is the gravity equation. Which means, larger the planet, bigger the attraction force. Closer the distance between the rocket and the planet, bigger the attraction force as well. What's inside 'Centrifugal': We have to travel through different star systems to return home. Make sure to use the physics wisely and avoid crashing... Don't get hit by the meteors... And don't get sucked into the blackholes... In 'Centrifugal', you can: Travel through various constellations and stars! These are real constellations in our world: Lyra, Aquila, Cygnus, Big Dipper (part of Ursa Major), and Ursa Minor. Enjoy the feeling of manipulating gravity! Achieve the highest score you can by rushing through the finish line! Explore the infinite universe and see how far you can go! Challenge yourself and break the record! Customize the appearance of your rocket! Unlock them with tokens you earned by achieving high score. Play local multiplayer mode and have fun with your friend! Two players will control one rocket at a time, and each of them will control a different thruster. The key here is to have excellent collaboration with your friend! Last but not least, Good Luck &amp; Fly Safe! 
1384770	Scrutinized	You never know what true horrors might lurk behind that charming, suburban front door. You’re Luna Youngman, a Criminal Analyst for the District Attorneys Office, set on weeding out the villains in your sleepy town while using various applications on your home computer. In this survivor horror you’ll search through a database full of reports to determine what kind of person lurks behind each one. Everything from cell phone images, decades-old police reports, recent purchases, text conversations, social media accounts, and search history is only a click away to help you assess these reports and either mark them as threats or not. You accomplish these tasks while using the simulated computer system in the game, the A.D.O.S system with tools dedicated to help you. One of these tools being the RootKit which is a virtual cell phone cracking tool. Crack into the suspicious person by sliding around a slider to get the right code! Easy to understand but challenging to accomplish. Like most of the population, you work during the day, but at night, your time is your own. It’s not as simple as staying awake through the night to file each report properly. There are killers on the loose, and the work you do has repercussions. In addition to the reports you must submit each night, you’ll need to keep an eye on your surroundings. Staying hyper-vigilant will get you far against these two malicious threats, eager to infiltrate your home. The last thing you want is to run the risk of getting caught off guard. You will accomplish this by walking around the immersive environment of Luna's home and making sure that windows are closed and the lights are on. Collect evidence, correctly file your reports, and survive this horror experience the next simulated 10 nights. If you can keep yourself from getting kidnapped, killed, or worse, you might finally be able to relax. You just need to not die before reaching those sandy beaches you’ve been dreaming about, confident in a job well done. Not a fan of jump scares? This game does have jump scares, BUT it is one of the only few games that allow you to turn them off! So if you would like to still experience the interesting story and game play but have a faint of heart, you can simple turn off the jump scares right inside the options menu! Looking for a more casual experience? Not to worry! In Scrutinized there is an easy mode for you to enjoy the mechanics of the game and read all the interesting reports inside the simulated computer system.
2593400	Girl X Island	Overview: Welcome to 'Girl X Island', an RPG visual novel game that immerses players in a captivating story of survival, adventure, and choice. Developed by a solo developer team. This game takes you on a thrilling journey as you assume the role of Peter, a young boy who finds himself stranded on a mysterious and uninhabited island after a fateful fall from a cruise ship. Key Features: 1. Survival in a Hostile Paradise: Step into Peter's shoes and face the ultimate challenge of surviving on an isolated island in the middle of the sea. With nothing but your wits and determination, gather essential resources through mining, gathering, hunting, and crafting to ensure your survival. 2. Interactive Storytelling: Every corner of the island holds secrets and characters waiting to be discovered. As you explore this enigmatic world, you'll encounter various characters, each with their own unique stories and backgrounds. It's up to you to decide whether to engage with them and embark on a shared journey, or forge your path alone. 3. Stunning 3D Graphics: Immerse yourself in the breathtaking beauty of the island, brought to life with stunning 3D graphics. Few animations artfully support key scenes, enhancing the visual experience and drawing you deeper into the story. Gameplay: In 'Girl X Island, you'll find yourself in a world where survival is paramount. To thrive, you'll need to: Collect Resources: Search for valuable materials by mining, gathering plants, and hunting wildlife. Craft Essential Items: Use the resources you gather to craft tools, weapons, and shelter, turning the harsh wilderness into a comfortable home. Explore the Unknown: Venture into the uncharted territories of the island, discovering hidden secrets and meeting intriguing characters along the way. Make Choices that Matter: Every decision you make will impact the story's direction, affecting Peter's fate and the relationships he forms.
1371720	Card Shark	'Our adversaries tonight? An unscrupulous group of scoundrels and rogues, rumoured to possess an unlimited fund between them. If we stick to the strategies you’ve learnt, this will be a walkover.' - Comte de Saint-Germain Card Shark is an adventure game full of cunning, intrigue, and delectable deceit. Enter a world where you’ll need to play your opponents better than you play your cards. LEARN AND MASTER NEW TRICKS Cheat your way to the top of 18th-century French society. Master deceptions using card marking, false shuffles, deck switching, false deals, and more! Use your ill-gotten gains to buy your way into the closed world of high-stakes tables. UNCOVER A CONSPIRACY ... as you climb from local card parlors to the King's table. A word of advice: Don't get caught. Your fellow gamblers do not take kindly to cheats… TRAVEL THROUGH 18TH CENTURY FRANCE Discover small towns, remote mansions, and luxurious lounges imagined by Nerial team (Reigns) game creator Arnaud De Bock (Pikuniku). Immerse yourself in the ornate visual artwork of Nicolai Troshinsky. Have your every move accompanied by an original score from Andrea Boccadoro as interpreted by an orchestra. 
2838360	SINce Memories: Off The Starry Sky	The celebrated Memories Off series returns. In a modern setting 10 years after the original series, comes a poignant tale of grief, friendship and mystery. Follow the story of Junya, lost in his own world but soft-hearted and ready to help those in need, his close friends try to keep him grounded following the tragic loss of his brother. As Junya tries to move forward from his grief, focusing on his studies and his work, he loses himself deep in trying to help others. Whether he's turning a Japanese manor house into a café, or solving the mystery of his brother's death - Junya's life is inexorably linked to the women around him. Only by deepening his relationships with them can he solve their interwoven problems - and through that, find peace himself. As you rebuild the Hojo manor, uncover the tangled past and the truth behind Junya’s brother’s death and the mysterious girl who follows you. Explore different character routes as you foster relationships both old and new, with the five heroines, Chihaya, Hinata, Chunyu, Yuriko and Azusa. Phenomenal artwork from U35, acclaimed character designer, bringing exquisite production values and unique character creations. Scenario writing by Tsukasa Tsuchiya, Hiro Akizuki, Rio Izumi, Decocool, Moe Gungu, and Chiyo Yakaku – whose credits include the likes of Steins;Gate 0, Fate/Zero and the Atelier series. Fully voiced in Japanese, bringing the characters personalities and interactions to life, allowing you to immerse and experience their raw emotion and heartfelt reactions. Notable for his work on Steins;Gate, Chaos;Head and the Memories Off series, Takeshi Abo has produced a moving soundtrack which transform this visual novel into a cinematic experience. 
1754790	Fate of the Pharaoh	Become the loyal Pharaoh’s adviser and help him to restore peace and prosperity in the golden cities of Egypt. Construct houses re-establish production, collect taxes and gather materials, set up production and trade, and fight crocodiles and wicked cobras. Restore Egypt to its days of glory! HELP the people of ancient Egypt to restore their kingdom in this exciting time management adventure game! EXPLORE the magnificent era of our history 44 EXCITING levels to master and hundreds of quests FIGHT dangerous cobras, scorpions, crocodiles and more! EARN achievements along the way MEET friends from outer space 2 difficulty modes: relaxed and adventure Step-by-step tutorials for beginners 
